,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
560,2020_04_25,-34.6225025,-58.3870341,https://departamento.mercadolibre.com.ar/MLA-850457386-san-telmo-departamento-1-ambiente-con-balcon-alquiler-temporario-_JM,"San Telmo, Departamento 1 Ambiente Con Balcón, Alquiler Temporario.",Departamento,25000.0,ARS,38,2
564,2020_04_25,-34.6185412,-58.3797051,https://departamento.mercadolibre.com.ar/MLA-850462399-san-telmo-2-amb-cbalcon-totalmente-amoblado-y-equipado-_JM,"San Telmo, 2 Amb C/balcón Totalmente  Amoblado Y Equipado",Departamento,25000.0,ARS,45,2
565,2020_04_25,-34.6249447,-58.3740091,https://departamento.mercadolibre.com.ar/MLA-850462483-san-telmo-departamento-2-ambientes-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes, Alquiler Temporario.",Departamento,25500.0,ARS,52,2
566,2020_04_25,-34.6180051,-58.3701682,https://departamento.mercadolibre.com.ar/MLA-850462820-san-telmo-departamento-duplex-alquiler-temporario-2-ambientes-_JM,"San Telmo, Departamento Duplex Alquiler Temporario 2 Ambientes.",Departamento,25500.0,ARS,64,2
567,2020_04_25,-34.6225286,-58.377146,https://departamento.mercadolibre.com.ar/MLA-850462915-san-telmo-departamento-alquiler-temporario-2-ambientes-gran-balcon-_JM,"San Telmo, Departamento Alquiler Temporario 2 Ambientes, Gran Balcón.",Departamento,25500.0,ARS,48,2
570,2020_04_25,-34.615783,-58.3844523,https://departamento.mercadolibre.com.ar/MLA-850467482-san-telmo-departamento-2-ambientes-con-balcon-y-amenities-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes Con Balcón Y Amenities, Alquiler Temporario.",Departamento,22000.0,ARS,46,2
572,2020_04_25,-34.6163429,-58.3782829,https://departamento.mercadolibre.com.ar/MLA-850473404-san-telmo-departamento-2-ambientes-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes, Alquiler Temporario.",Departamento,23000.0,ARS,73,2
573,2020_04_25,-34.6185078,-58.3736544,https://departamento.mercadolibre.com.ar/MLA-850475089-san-telmo-departamento-ph-duplex-2-ambiente-con-amenities-alquiler-temporaio-_JM,"San Telmo, Departamento Ph Duplex 2 Ambiente Con Amenities, Alquiler Temporaio.",Departamento,23000.0,ARS,65,2
575,2020_04_25,-34.566714,-58.4513542,https://departamento.mercadolibre.com.ar/MLA-850480785-departamentooficina-2-amb-proximo-subte-linea-d-belgrano-_JM,"Departamento/oficina 2 Amb, Proximo Subte Linea D  - Belgrano",Departamento,26000.0,ARS,50,2
576,2020_04_25,-34.6125214,-58.4416614,https://departamento.mercadolibre.com.ar/MLA-850482626-departamento-en-alquiler-en-caballito-_JM,Departamento En Alquiler En Caballito,Departamento,15000.0,ARS,40,2
