,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
688,2020_04_25,-34.5689677,-58.457854,https://departamento.mercadolibre.com.ar/MLA-850873106-belgrano-3-amb-amoblado-valor-paquete-_JM,Belgrano 3 Amb. Amoblado Valor Paquete,Departamento,2200.0,USD,75,3
690,2020_04_25,-34.5855314,-58.4387608,https://inmueble.mercadolibre.com.ar/MLA-850877488-alquiler-de-departamento-tipo-casa-ph-3-ambientes-en-palermo-1924-_JM,Alquiler De Departamento Tipo Casa Ph 3 Ambientes En Palermo (1924),Ph,40000.0,ARS,58,3
702,2020_04_25,-34.5618684,-58.4524515,https://departamento.mercadolibre.com.ar/MLA-850916132-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,39000.0,ARS,90,3
706,2020_04_25,-34.6006877,-58.5143934,https://departamento.mercadolibre.com.ar/MLA-850922928-departamentos-alquiler-villa-devoto-_JM,Departamentos Alquiler Villa Devoto,Departamento,65000.0,ARS,222,3
707,2020_04_25,-34.5708431,-58.4330643,https://departamento.mercadolibre.com.ar/MLA-850926207-departamento-las-canitas-tres-amb-impecable-con-pileta-y-parrilla-_JM,Departamento - Las Cañitas - Tres Amb Impecable Con Pileta Y Parrilla!,Departamento,115000.0,ARS,75,3
710,2020_04_25,-34.627387,-58.480104,https://departamento.mercadolibre.com.ar/MLA-850929127-tres-ambientes-comodo-en-zona-comercial-floresta-_JM,Tres Ambientes Cómodo En Zona Comercial Floresta,Departamento,18000.0,ARS,69,3
725,2020_04_25,-34.6007978,-58.4418085,https://departamento.mercadolibre.com.ar/MLA-851053226-departamento-villa-crespo-_JM,Departamento - Villa Crespo,Departamento,24000.0,ARS,75,3
728,2020_04_25,-34.5995151,-58.4017763,https://departamento.mercadolibre.com.ar/MLA-851109406-3-ambientes-contra-frente-super-luminoso--_JM,3 Ambientes Contra Frente  Super Luminoso !!!!!,Departamento,22000.0,ARS,55,3
735,2020_04_25,-34.620124,-58.389308,https://departamento.mercadolibre.com.ar/MLA-851142778-en-alquiler-3-amb-carlos-calvo-1600-_JM,"En Alquiler 3 Amb, Carlos Calvo 1600",Departamento,22000.0,ARS,66,3
740,2020_04_25,-34.587697,-58.432846,https://departamento.mercadolibre.com.ar/MLA-851150141-alquiler-temporario-3-ambientes-patio-palermo-soho-_JM,Alquiler Temporario 3 Ambientes Patio Palermo Soho,Departamento,50000.0,ARS,53,3
742,2020_04_25,-34.610439,-58.36257,https://departamento.mercadolibre.com.ar/MLA-851151440-molinos-faena-3-ambs-c-coch-todo-incluido-_JM,Molinos Faena - 3 Ambs C/ Coch - Todo Incluido,Departamento,2100.0,USD,124,3
743,2020_04_25,-34.588281,-58.388469,https://departamento.mercadolibre.com.ar/MLA-851151481-alquiler-temporario-3-ambdep-recoleta-avalvear-_JM,Alquiler Temporario 3 Amb+dep. Recoleta Av.alvear,Departamento,1350.0,USD,113,3
754,2020_04_25,-34.6241837,-58.4929314,https://departamento.mercadolibre.com.ar/MLA-851233860-departamento-3-ambientes-y-escritorio-con-cochera-_JM,Departamento 3 Ambientes Y Escritorio Con Cochera,Departamento,23000.0,ARS,81,3
764,2020_04_25,-34.5940049,-58.399876,https://departamento.mercadolibre.com.ar/MLA-851276061-departamentos-alquiler-barrio-norte-_JM,Departamentos Alquiler Barrio Norte,Departamento,10000.0,ARS,48,3
770,2020_04_25,-34.6186594,-58.3999782,https://departamento.mercadolibre.com.ar/MLA-851289528-departamentos-alquiler-almagro-_JM,Departamentos Alquiler Almagro,Departamento,24000.0,ARS,77,3
773,2020_04_25,-34.6423055,-58.371789,https://departamento.mercadolibre.com.ar/MLA-851292535-departamentos-alquiler-barracas-_JM,Departamentos Alquiler Barracas,Departamento,17500.0,ARS,65,3
776,2020_04_25,-34.596739,-58.413482,https://departamento.mercadolibre.com.ar/MLA-851300656-departamento-alquiler-3-ambientes-palermo-_JM,Departamento Alquiler 3 Ambientes Palermo,Departamento,30000.0,ARS,73,3
777,2020_04_25,-34.626944,-58.449821,https://departamento.mercadolibre.com.ar/MLA-851307715-departamento-semipiso-en-alquiler-ubicado-en-caballito-capital-federal-_JM,"Departamento Semipiso  En Alquiler Ubicado En Caballito, Capital Federal",Departamento,33000.0,ARS,75,3
781,2020_04_25,-34.5362856,-58.4674999,https://departamento.mercadolibre.com.ar/MLA-851313537-nunez-departamento-en-duplex-3-ambientes-alquiler-temporario-_JM,Nuñez. Departamento En Duplex 3 Ambientes. Alquiler Temporario.,Departamento,21240.0,ARS,64,3
790,2020_04_25,-34.584966,-58.417947,https://departamento.mercadolibre.com.ar/MLA-851362940-alquiler-departamento-3-ambientes-en-palermo-zona-botanico-_JM,"Alquiler Departamento 3 Ambientes En Palermo, Zona Botánico",Departamento,38000.0,ARS,50,3
795,2020_04_25,-34.583317,-58.41889,https://departamento.mercadolibre.com.ar/MLA-851389616-3-amb-con-dep-y-cochera-baul-con-renta-_JM,"3 Amb, Con Dep Y Cochera/ Baul - Con Renta",Departamento,249000.0,USD,107,3
808,2020_04_25,-34.5986395,-58.3973196,https://departamento.mercadolibre.com.ar/MLA-851465273-3-ambientes-junin-al-800-_JM,3 Ambientes | Junin Al 800,Departamento,1350.0,USD,100,3
810,2020_04_25,-34.5674463,-58.4333212,https://departamento.mercadolibre.com.ar/MLA-851465286-3-ambientes-tte-benjamin-matienzo-al-1600-_JM,3 Ambientes | Tte. Benjamin Matienzo  Al 1600,Departamento,26000.0,ARS,70,3
815,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-851465323-3-ambientes-olga-cossettini-al-100-_JM,3 Ambientes | Olga Cossettini Al 100,Departamento,4200.0,USD,160,3
821,2020_04_25,-34.59024,-58.395753,https://departamento.mercadolibre.com.ar/MLA-851465401-3-ambientes-uriburu-al-1500-_JM,3 Ambientes | Uriburu Al 1500,Departamento,35000.0,ARS,80,3
822,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-851465414-3-ambientes-olga-cossettini-al-100-_JM,3 Ambientes | Olga Cossettini Al 100,Departamento,4115.0,USD,154,3
